Obverse,Reverse,tag
66.mir,"mir=wonder惊奇，惊异
mirror          [mir惊奇，-or表示物;能映出影像，使人感到惊奇之物.最初人们对镜子能映出影像感到惊奇]镜子
She was looking at herself in the mirror. 她正在照镜子。
admire         [ad-加强意义，mir惊奇，惊异→惊叹]赞赏，羡慕，赞美，钦佩
We admire his working so hard. 我们钦佩他工作努力。
admirable      [见上，-able形容词后缀，可…的]令人赞赏的，可钦佩的
She showed admirable self-control. 她表现出令人钦佩的自我控制。
admirer        [见上，-er表示人]赞赏者，羡慕者
There was a little cluster of admirers round the guest speaker.有一小群仰慕者围着那位特邀嘉宾。
admiration     [见上，-ation名词后缀，表示行为.情况]赞赏，羡慕，钦佩
My respect for your intelligence is only equalled by my admiration for your integrity.我对你聪明才智的敬佩不亚于对你为人正直的景仰。
mirage         [mir奇异→奇观，-age名词后缀，表示物]奇景，幻景，海市蜃楼
miracle        [mir惊奇，奇异，-acle表示事物]奇事，奇迹
The compact disc is a miracle of modern technology.激光唱片是当代技术的奇迹。
miraculous     [见上，miracle+ous(…的)→miraculous]像奇迹一样的，令人惊叹的
They won a miraculous victory over much stronger enemy.他们战胜了远比自己强大的敌人, 赢得了非凡的胜利。
",root
67.miss,"miss=send投，送，发(miss也作mit)
missile         [miss投掷，发射，-ile名词后缀，表示物]投掷物，发射物，导弹，飞弹;[-ile形容词后缀，可…的]可投掷的，可发射的
A missile hit the ship and sank it. 导弹击中了那艘船, 使其沉没了。
dismiss        [dis-离开，miss送;’送出”，打发走]开除，免职，解散
The new governor dismissed the staff that served his predecessor.
新州长将前任州长的职员全部解雇。
dismission     [见上，-ion名词后缀]开除，免职，解散
mission        [miss送，派送，委派，-ion名词后缀;被派送出去者]使团，代表团，使命
The minister was sent to Spain on mission. 这位部长奉命前往西班牙。
missionary     [见上，-ary形容词后缀，…的](被派遣出去)传教的;[转为名词]传教士
Some missionaries came from England in the Qing Dynasty.
清朝时, 从英国来了一些传教士。
manumit       [manu手，mit送出，放出;’以手放出’]释入，解放
manumission   [见上，-ion名词后缀]释放，解放
remit          [re-回，mit送;’送回”，’把钱发送回去”]寄钱，汇款
She has had part of her sentence remitted. 她被免去部分刑期。
remittance     [见上，t重复字母，-ance名词后缀]汇款
Your last month’s salary will be paid by remittance.
最后一个月的薪水将通过汇寄的方式付给你。
remittee       [见上，-ee人](汇票的)收款人
transmit        [trans-转，传，mit送，发]传送，播送;发送
The station transmits from 6 a.m. until midnight.电台从早晨六点开始播音, 一直持续到半夜。
transmission    [见上，-ion名词后缀]传送，发射，播送
We interrupt our normal transmissions to bring you a piece of special news.我们中断正常节目, 播送一条特别新闻。
transmitter      [见上，-er表示人和物]传送者，发射机，发报机
transmissible   [见上，-ible形容词后缀，可…的]能传送的，可发射的;可播送的
intermit        [inter-中间，mit投，送;’投入中间”，’中间插入”]间歇，中断
intermission    [见上，-ion名词后缀]中间休息，间歇，中断
The violinist resumed playing after the intermission.
幕间休息之后,那小提琴手又重新开始演奏。
emissive       [e-外，出，miss发，投-ive形容词后缀，…的]发出的，发射的
emission       [e-外，出，miss发，-ion名词后缀]发出，发射，散发
Most scientists accept that climate change is linked to carbon emissions.大多数科学家都相信气候变化与排放的含碳气体有关。
emissary       [e-出，miss送，派，-ary表示人]派出的密使;间谍
He had been engaged in emissary activity before he was discovered.
在被发现以前他一直从事间谍活动。
emit           [e-出，mit发]散发，放射;发行;发出
She was heard to emit a cry of horror. 人们听到她发出恐怖的叫声。
immit          [im-入内，mit投]投入，注入
immission      [im-入内，miss投入，-ion名词后缀]投入，注入
promise        [pro-前，先，mis(=miss)发;’事先发出”之言]诺言，允诺
I want you to promise me. 我想让你对我做出承诺。
compromise    [见上，com-共同，promise诺言;a mutual promise to abide by a decision，’共同承诺”遵守一项决定]妥协，和解
They compromised by going to the cinema. 他们采取折中的办法去看电影。
commit         [com-加强意义，mit送，委派]委任，委派，把…交托给
The boy was committed to the care of his aunt. 这个孩子被交给他的姑妈照顾。
committee      [见上，-ee表示人;被委派的人→被委派的一组人]委员会
The committee has [have] decided to dismiss him. 委员会已决定辞退他。
commissary     [见上，ary表示人]委员，代表
",root
68.mob,"mob=move动
mobile          [mob动，ile形容词兼名词后缀]活动的，可动的，运动的，汽车
He has not been so mobile since his accident. 自从出事后他一直行动不便。
mobility         [mob动，-ility形容词后缀，易…性]易动性，运动性;变动性
The difference in regional house prices acts as an obstacle to mobility of labour.不同地区房价的差异阻碍了劳动力的流动。
mobilize        [见上，-ize动词后缀]动员
The troops received orders to mobilize. 部队接到动员令。
mobilization     [见上，-ization名词后缀]动员
demobilize      [de-相反;’与动员相反”]使复员
After the war the soldiers were demobilized. 战后军人都遣散了。
demobilization   [见上]复员
immobile        [im-不，mobile动的]不动的，固定的
For a moment shock held her immobile. 有那么一会儿她惊讶得不能动弹。
immobility       [见上]不动性，固定性
automobile      [auto-自己，mob动;’自动车”]汽车
mob            [mob动→动乱，暴动→暴动的人]暴民;一群暴徒
An angry mob is attacking the palace. 愤怒的暴徒在攻击王宫。
mobbish        [见上，mob暴民，暴徒，-ish形容词后缀，…的]暴徒般的，暴乱的
mobocracy      [见上，mob暴民，暴徒，-o-，cracy统治]暴民政治，暴徒统治
mobocrat        [见上，-crat统治者]暴民领袖，暴徒首领
mobster         [mob动→暴动，-ster表示人]暴徒，匪徒
",root
69.mort,"mort=death死
mortal           [mort死，-al形容词后缀，…的]终有一死的，死的，临死的
He received a mortal wound soon after the battle began.
战争开始后不久, 他就受到了致命的重伤。
mortality         [见上，-ity名词后缀，.表示性质]必死性，死亡率
We aren’t gods: we must accept our mortality. 我们不是神：要死就得死。
immortal         [im-不，mort死，-al形容词后缀，…的]不死的，永生的，不朽的
Someone believed that the soul is immortal. 有人认为灵魂不灭。
immortality       [见上，-ity名词后缀，表示性质，情况]不死，不朽，永存
immortalize      [见上，-ize动词后缀，使…]使不朽，使不灭，使永存
immortalize someone’s memory 永远纪念某人
mortician        [mort死，-ician做…职业的人]承办殡葬的人
mortuary        [mort死→死尸，-u-，-ary表示场所，地点]停尸室，殡仪馆
postmortem     [post-以后，…之后，mort死]死的的
",root
70.mot,"mot=move移动，动
motion          [mot动，-ion名词后缀，表示行为，情况]运动，动
The conference adopted a motion. 会议通过了一项提议。
motive          [mot动，-ive形容词后缀，…的]发动的，运动的;[转为名词]动机
The police could not find a motive for the murder. 警察不能找到谋杀的动机。
promote         [pro-向前，mor移动;’使向前移动”]推进，促进，提升，升级
My son's just been promoted. 我儿子刚被提拔。
promotion       [见上，-ion名词后缀，表示行为]促进，推进，提升，升级
Promotion in the job was by seniority. 这种工作得按资历晋升。
promoter        [见上，-er表示人]促进者，推进者
That fellow is a promoter of boxing events. 那人是拳击比赛的赞助人。
demote         [de-向下，mot移动;’使向下移动”]使降级
He was demoted to the rank of ordinary soldier. 他被降为普通一兵。
demotion       [见上，-ion名词后缀，表示行为]降级
remote         [re-回，离mot移动;移走的，removed to a distance，远离的]遥远的
At night I like to look at the remote stars in the clear sky.晚上我喜欢观看晴朗的夜空中遥远的星星。
commotion      [com-加强意义，mot动，-ion名词后缀，表示行为;激烈的动荡]骚动，动乱
locomotive      [loc地方，-o-，mot移动，-ive形容词后缀，…的; 能由一个地方移动至另一个地方的]移动的，运动的;[转为名词，’能索引他物，由一地方移动至另一地方的机器]机车，火车头
The locomotive has broken down. 火车头坏了。
locomote        [见上]移动，行进
motor           [mot动，-or表示物]发动机，机动车
automotive       [auto-自己，mot动，-ive形容词后缀，…的]自动的，机动的
motile           [mot动，-ile形容词后缀，…的](生物)能动的，有自动力的
",root
71.momin,"nomin=name名
nominal        [nomin名，-al形容词后缀，…的]名义上的，有名无实的
The king was only the nominal head of the state. 国王只是这个国家名义上的元首。
nominate       [nomin名，-ate动词后缀，做…事]提名，任命
I nominate Tom to make the tea. 我指派汤姆去沏茶。
nomination     [见上，-ation名词后缀，表示行为]提名，任命
nominator      [见上，-ator…者]提名者，任命者
nominee       [见上，-ee被…者]被提名者
denominate    [de-加强意义，nomin名，-ate动词后缀，做…事]给…命名
denomination   [见上，-ation名词后缀]命名，名称
ignominious    [ig-=in-不，nomin名→名声，-ious形容词后缀，…的;名声不好的]不名誉的，不光彩的，耻辱的
The marriage was considered especially ignominious since she was of royal descent.由于她出身王族,这门婚事被认为是奇耻大辱。
ignominy       [见上，-y名词后缀，表示性质，情况]不名誉，不光彩，耻辱
innominate     [in-无，nomin名，-ate形容词后缀，…的]无名的，匿名的
",root
72.nov,"nov=new新
novel          [nov新，-el名词后缀，表示物;新→新奇，新奇的事→故事]长篇小说;新奇的
novelist        [见上，-ist表示人]小说家，小说作者
First it was politicians, now a novelist has decided to get in on the act.开始是政客们,现在是一个小说家也决定染指其中。
novelette      [见上，-ette名词后缀，表示小，比长篇小说小(短)的]中篇小说
novelize       [见上，-ize动词后缀，使成…]使成小说，使小说化
novelty        [novel新奇的，-ty表示情况，事物]新奇，新颖，新奇的事物
novice        [nov新，-ice表示人]新手，初学者
He’s still a novice as far as film acting is concerned. 就电影表演而言他仍是新手。
novation      [nov新，-ation表示行为]更新
innovate      [in-加强意义，-nov新，-ate动词后缀，使…，作…]革新，创新
We must innovate in order to make progress. 我们必须改革以便取得进步。
innovator      [见上，-or者]革新者，创新者
innovative     [见上，-ive形容词后缀，…的]革新的，创新的
innovation     [见上，-ation名词后缀，表示行为]革新，创新，改革
Farmers are introducing in novations which increase the productivity.
农民们正引进提高生产力的新方法。
renovate      [re-再，nov新，-ate动词后缀，使…;使再新]更新，刷新，翻新，修复，革新
renovation    [见上，-ion名词后缀，表示行为]更新，革新，翻新
renovator     [见上，-or者]更新者，革新者，刷新者，修复者
",root
73.numer,"numer=number数
numeral       [numer数，-al形容词后缀，…的]数字的，示数的;[转为名词]数字，数词
numerable     [numer数，-able可…的]可数的，可计算的
numerous      [numer数，-ous形容词后缀，…的]为数众多的，许多的
There are numerous people in the square. 有许多人在广场上。
numerate      [numer数，-ate动词后缀，做…]计算，计数，数
numerator      [numer数，-ator表示人或物]计算者，计算器
numerical      [numer数，-ical形容词后缀，…的]数字的，用数词表示的
The numbers are in numerical order. 这些号码是按数字顺序排列的。
enumerate      [e-出，numer数，-ate动词后缀，做…;’数出”]数，点数，列举
The errors are too many to enumerate. 错误太多，不胜枚举。
enumerable     [见上，-able形容词后缀，可…的]可点数的，可列举的
enumeration    [见上，-ation表示行为及行为的结果]计数，列举，细目
innumerable     [in-无，不，numer数，-able形容词后缀，可…的]数不清的，无数的
Technological innovations have brought innumerable benefits.
技术革新已经带来了无穷的好处。
denumerable    [de-加强意义，numer数，-able形容词后缀，可…的]可数的
supernumerary  [super-超，超出，numer数，-ary形容词后缀，…的;超出定数之外的]额外的，多余的;[-ary表示人或物]多余的人(或物)
",root
74.onym,"onym=name名
onymous        [onym名，-ous形容词后缀，…的]有名字的，署名的
anonym         [an-无，onym名]匿名者，无名氏
anonymous      [an-无，onym名，-ous形容词后缀，…的]无名的，匿名的
The writer wishes to remain anonymous. 作者希望姓名不公开。
anonymity       [an-无，onym名，-ity名词后缀]无名，匿名
Our company promises to preserve the anonymity of all its clients.
我们公司承诺不公开客户的姓名。
cryptonym       [crypt隐，匿，onym名]匿名
homonymous    [hom(o)同，onym名，-ous形容词后缀，…的]同名的
matronymic      [matr母，onym名，-ic形容词后缀，…的]取自母名的(名)
patronymic      [patr父，onym名，-ic形容词后缀，…的]源于父名的(姓)
pseudonym      [pseud-假，onym名]假名
pseudonymous   [pseud-假，onym名，-ous形容词后缀，…的]假名的;用假名的
pseudonymity    [见上，-ity名词后缀]使用假名
synonym      [syn-同，相同，onym名→单词的名称→单词;意义相同的词]同义词，同义语
synonymic       [见上，-ic形容词后缀，…的]同义的，同义词的
synonymity      [见上，-ity名词后缀]同义
antonym         [ant-=anti相反，见上;’意义相反的词”]反义词，反义字，反义语
",root
75.oper,"oper=work工作
operate         [oper工作，-ate动词后缀，做…]工作，操作，运转，动手术
The machine is operating properly. 这台机器运转正常。
operation       [oper工作，-ation名词后缀，表示行为]工作，操作，运转，(外科)手术
The company will soon begin operation. 那家公司不久就要开始营业。
operator        [oper工作，操作，-ator者]操作人员，(外科)施行手术者
operative       [oper工作，操作，-ative形容词后缀，…的]工作的，操作的，手术的
The scheme was fully operative by 1975. 到1975年这一计划已完全实施。
operable       [oper工作，操作，-able形容词后缀，可…的]可操作的，能施行手术治疗的
operose        [oper工作→劳动，出力，-ose形容词后缀，…的]费力的，用功的，勤勉的
inoperable      [in-不，oper工作，操作→动手术，-able形容词后缀，能…的]不能施行手术的的，不宜动手术的
cooperate      [co-共同，oper工作，-ate动词后缀，做…]合作，协作
We hope we can cooperate even more closely in the future.希望我们今后能更加密切合作。
cooperation    [见上，-ation表示行为]合作，协作
cooperator     [见上，-ator者]合作者，合作社社员
cooperative    [见上，-ative形容词后缀，…的]合作的，协作的，[转为名词]合作社
We thank you for your cooperative efforts. 我们感谢你方努力合作。
opera         [oper工作→动作→表演，作戏→戏]歌剧
operatic       [见上，-tic形容词后缀，…的]歌剧的，歌剧式的
",root
76.ori,"ori=rise升起
orient         [ori升起;原义为太阳升起的地方]东方，东方的
He oriented himself on coming to a new city. 他初到一个新城市, 就使自己适应新的环境。
oriental       [见上，orient东方，-al形容词后缀，…的]东方的
Do some oriental philosophies lean towards fatalism? 有些东方的哲学倾向于宿命论吗?
orientate      [orient东方，-ate动词后缀，做…事]指向东方，定方位，指示方向
Try to orientate your students towards the science subjects.
把学生的兴趣尽力引导到理科方面。
disorient       [dis-离开，orient东方，方向]使迷失方向(或方位)
disorientate    [见上-ate动词后缀]不辩方向，迷向
disorientation   [见上，-ion名词后缀]不辩方向
reorientation    [re-再，orientation定方向]再定方向，重定方向
origin          [ori升→发生，发起→起源]原始，起源，由来，出身
What's the origin of your anxiety? 你焦虑的根源是什么?
original        [见上，-al形容词后缀，…的]起源的，原始的，最初的
The inventor had an original mind. 那个发明家具有创新的头脑。
originate       [见上，-ate动词后缀]发起，发生，起源
",root
77.paci,"paci=peace和平，平静
pacific        [paci和平，-fic形容词后缀，…的]和平的，太平的，平静的
We are pacific people. 我们是爱好和平的人。
pacify        [paci和平，-fy动词后缀，使…的]使和平，使平静，使平定，抚慰
He tried to pacify the mob. 他试图安抚暴民。
pacifier       [见上，-er表示人]平定者，平息者，抚慰者
pacification    [见上，-fication名词后缀，表示行为，情况]平定，平息，绥靖，太平
pacificator     [见上，-ator者]平定者
pacifism       [见上，-ism…主义]和平主义，不抵抗主义
pacifist        [见上，-ist…主义者]和平主义者，不抵抗主义者
repacify       [re-再，paciry平定]再平定，再平息
",root
78.pel,"pel=push，drive推，逐，驱
propel         [pro-向前，pel推]推进，推动
A volcano erupted and propelled rocks high into the sky. 火山爆发, 把无数的石块抛向天空。
propeller       [见上，-er表示人或物]推进者，推进器，螺旋桨
propellent      [见上，-ent形容词后缀，…的]推进的;[-ent表示人或物]推进物，推进者
expel          [ex-出，外，pel驱逐]逐出，赶出，驱逐，开除
They expelled a foreign spy from their country. 他们把一个外国间谍驱逐出境。
expeller        [见上，-er者]逐出者，驱逐者
expellee       [见上，-ee被…的人]被驱逐(出国)者
expellable     [见上，-able形容词后缀，可…的]可逐出的
expellant      [见上，-ant形容词后缀，…的]赶出的，驱除的
repel          [re-回，pel逐;’逐回”]击退，反击，抵抗，防
repellence     [见上，-ence表示性质]反击性，抵抗性
repellent       [见上，-ent形容词后缀…的]击退的，击回的，排斥的;[-ent表示物]防护剂，防水布
There’re mosquito repellents available in the shops.在商店可以买到驱蚊剂。
dispel          [dis-分散，pel驱]驱散
The sun soon dispelled the thick fog. 太阳很快驱散了浓雾。
compel        [com-加强意义，pel驱逐，驱使;’驱之使做某事”]强迫，迫使
The rain compelled us to stay indoors.下雨使我们不得不待在室内。
compellable    [见上，-able可…的]可强迫的
comperller     [见上，-er者]强迫他人者，驱使别人者
impel          [im-加强意义，pel推]推动，激励
I feel impelled to express grave doubts about the project.我觉得不得不对这项计划深表怀疑。
impeller        [见上，-er表示人或物]推动者，推动器
",root
79.pend,"(a)pend，pens=hang悬挂
depend        [de-下，pend悬挂;’挂在他物下面”→依附于另一物体”]依靠，依赖
It all depends.I have certain doubts about it. 这很难说, 得看情况。
dependent     [见上，-ent形容词后缀，…的]依靠的，依赖的，不独立的，从属的
He has a mother completely dependent on him. 他有一个完全靠他赡养的母亲。
dependence    [见上，-ence名词后缀]依靠，依赖
Doctors keep trying to break her dependence of the drug. 医生们尽力使她戒除毒瘾。
dependency    [见上，-ency名词后缀]依赖，从属，属地，属国
dependable    [见上，-able形容词后缀，可…的]可依赖的，可依靠的
She is loyal and totally dependable. 她很忠诚，完全值得信赖。
independent   [in-不，depend依靠，-ent形容词后缀，…的]独立的，自主的
He is economically independent. 他在经济上是独立的。
independence  [见上，ence名词后缀，表示行为，情况]独立，自主
By the time they get to that age they will value their independence.当他们到了那年龄时他们会珍视自己的独立性。
independency  [见上，-ency=-ence]独立，独立国
interdepend    [inter-相互，depend依赖]互相依赖
interdependence [见上，-ence名词后缀]互相依赖
interdependent  [见上，-ent形容词后缀，…的]互相依赖的
pending        [pend悬挂，ing形容词后缀，…的]悬而未决的
pendent        [pend悬挂，-ent形容词后缀，…的]悬空的，下垂的，悬而未决的;[-ent表示物]悬垂物
suspend       [sus=sub下，pend悬，吊，挂，挂起来]挂，悬，中止，暂停
Both sides in the conflict have agreed temporarily to suspend hostilities.
冲突双方同意暂时停火。
suspension    [见上，-ion名词后缀，表示行为，情况]悬挂，悬而不决，中止，暂停
He incurred a suspension on reduced pay. 他受到了降薪停职处分。
suspensive    [见上，-ive形容词后缀，…的]可悬挂的，可吊的
append       [ap-表示to，pend悬挂]挂上，附加
The lawyer appended two more pages to the contract. 律师在合同后又附加了两页。
appendage    [见上，-age名词后缀，表示物]附加物，附属物
impend       [im-加强意义，pend悬挂]悬挂;[悬在上面→悬在头上→事到临头]即将发生，即将来临，逼近
impending     [见上，-ing形容词后缀，…的]即将来临的，迫近的
impendent     [见上，-ent形容词后缀，…的]悬挂的，即将发生的，逼近的
(b)(1)称量物体的重量时，须将物体悬起，吊起，因此，悬挂(物体)→称量(物体的质量)
(2)金，银等物作为钱币使用时，付钱须称量其重量，因此，称量(金，银等重量)→付钱.支出，花费
(3)因此，pend，pens由悬挂引申为称量，再引申为付钱，支出，花费”
（b）pend，pens=weigh称量
dispense       [dis-分散，pens称量;’分开称量物品的份量，进行分配”]分配，分发，配发
dispensary      [见上， -ary表示场所，地点;’分配药品的地方”]药房，配药处
dispensation    [见上，-ation名词后缀]分配，分给，分配物
dispenser       [见上，-er表示人]分配者，施与者，配药者，药剂师’[-er表示物]分配器，配出器，自动售货机
pensive        [pen称量→衡量，权衡→思考，-ive形容词后缀，…的]沉思的
perpend       [per-完全，十分，彻底，pend称量→衡量;仔细称量→仔细衡量]细思，思考
ponder        [pond→pend称量，-er动词后缀;称量→衡量，权衡→思量，思考]深思，考虑，估量，衡量
She pondered his marriage proposal for weeks. 几个星期以来她认真地考虑着他的求婚。
ponderable    [见上，-able形容词后缀，可…的]可衡量的，可估量的
(c) pend，pens=pay付钱，支出，花费
expend       [ex-出，pend付钱;把钱付出]花费，消费，用款
Don't expend all your time on such a useless job.不要把时间消耗在这种无用的工作上。
expenditure   [见上，-ture=-ure表示行为或行为的结果]支出，消费，花费
expendable   [见上，-able形容词后缀，可…的]可消费的
expense      [ex-出，pens付钱]支出，花费，消费
expensive     [见上，-ive形容词后缀，…的]花费的，花钱多的，昂贵的
spend        [s-为ex-或dis-的缩形，pend花费]花钱，花费，消耗(时间)
He spent himself in the service of humanity. 他耗尽了毕生的精力为人类服务。
pension      [pens付钱，-ion名词后缀，表示物;每年付出的钱]年金，养老金，退休金
The country provided a pension to the old person. 国家给老人们提供养老金。
pensioner     [见上，-er者]领取养老金者
",root
80.pet,"pet=seek追求
compete      [com-共同，pet追求;’共同追求”]竞争，角逐，比赛
These products are of high quality and able to compete internationally.这些产品品质很好, 在国际市场上有竞争能力。
competition   [见上，-ition名词后缀，表示行为]竞争，角逐，比赛
There will be a chess competition next week. 下个星期有一场国际象棋比赛。
competitive   [见上，-itive形容词后缀，…的]竞争的，比赛的
He is a competitive athlete. 他是位竞技意识强的运动员
competitor    [见上，-itor表示人]竞争者，比赛者
We cannot afford to drop behind our competitors. 我们可担当不起落后于竞争对手的后果。
appetite      [ap-表示to向，pet追求→渴求，渴望]欲望，食欲
He was a person of gross sexual appetites. 他是个性欲旺盛的人。
appetence    [见上，-ence表示情况]强烈的欲望，渴望
appetent      [见上，-ent形容词后缀，…的]渴望的有欲望的
appetizing    [见上，-iz(e)+ing…的]促进食欲的，开胃的
petition       [pet追求→请求，寻求，-ition表示行为]申请，请求，请愿，请愿书
petitionary     [见上，-ary形容词后缀，…的]请求的，申请的，请愿的
petitioner      [见上，-er者]请求者，请愿者
centripetal     [centre中心，-i-，pet追求→趋向，-al形容词后缀…的;趋向中心的]向心的
",root
81.phon,"phon=sound声音
mircrophone     [micro-微小，phon声音;’把微小声音放大的仪器”]扩音器，麦克风，话筒
telephone       [tele远，phon声音;’由远处(通过电波)传来的声音”]电话
phone          [telephone的缩略形式]电话
videophone     [video电视，phone电话]电视电话
otophone       [oto耳，phon声音]助听器
symphony      [sym-共同→互相， phone声音，音响，-y名词后缀，表示事物]交响乐
They play over the whole symphony. 他们把整个交响乐重新演奏了一遍。
symphonic     [见上，-ic形容词后缀，…的]交响乐的
phonetic       [phon声音→语音，-etic形容词后缀，…的]语音的
phonetics      [见上，-ics，…学]语音学
phonetist       [见上，-ist表示人]语音学家
electrophone    [electro电，phon声音]电子乐器
stereophone    [stereo立体，phon声音]立体音响
gramophone    [gram写→记录，-o-，phon声音;’记录声音”的仪器]留声机
phonology      [phon音→音韵，-o-，logy，…学]音韵学
euphonious     [eu-优美，好，phon音，-ious形容词后缀，…的]声音好听的
cacophonous   [caco恶，phon音，-ous形容词后缀，…的]音调不和谐的
phonic         [phon声音，-ic形容词后缀，…的]声音的，语音的
phonics        [phon声音，-ics…学]声学
aphonia        [a-无，phon声音，-ia名词后缀]失音(症)
dysphonia      [dys困难，phon声音→发音]发音困难
polyphone      [poly-多，phon声音]多音字母，多音符号
megaphone     [mega大，’把声音扩大”的仪器]扩音器，喇叭筒
",root
82.pict,"pict=paint画，描绘
picture         [pict绘，-ure名词后缀]绘画，图画，画像;图片
picturesque     [见上，-esque形容词后缀，如…的]如画的
You can see the picturesque shores beside the river. 在河边你可以看到景色如画的两岸。
pictograph      [pict绘→图形，-o-，graph写→文字]象形文字
pictographic    [见上，-ic形容词后缀，…的]象形文字的
depict          [de-加强意义，pict绘]描绘，描述
The artist depicted him strolling through a garden. 画家描绘了他在花园漫步的情景。
depicture       [见上]描绘，描述
pictorial        [pict画，-or，-ial形容词后缀，…的]绘画的，图片的;[转为名词]画报
pictorialize      [见上，-ize动词后缀]用图画表示
",root
83.plen,"plen=full满，全
plenty          [plen满→丰足，-ty表示情况，状态]丰富，充足，大量
We've got plenty more in the shop. 我们店里还有很多。
plentiful        [见上，-ful形容词后缀，…的]丰富的，充足的，大量的
plenitude       [plen满，全，-itude表示情况，状态]丰富，充足，完全，充分
plenary         [plen全，-ary形容词后缀，…的]完全的，全部的，全体的
I’ll be at the plenary session of the conference. 我将出席大会的全体会议。
plenum        [plen满，全，-um表示抽象名词]充满，充实，全体会议
plenipotentiary  [plen全，-i-，potent权力，权能，-i-，-ary表示人]全权大使;[-ary形容词后缀，…的]有全权的
plenilune       [plen满，-i-，lun月亮]满月，望月.月满之时
deplenish      [de-非，相反，plen满，充满，-ish动词后缀，做…事;与充满相反的动作]倒空，弄空，使空
replenish      [re-再，plen满，-ish动词后缀，使…](再)填满，(再)装满
replenisher    [见上，-er者](再)装满者，补充者
",root
84.plic,"plic=fold折，重叠
complicate     [com-加强意义，plic重叠，重复→多层，复杂，-ate动词后缀]使复杂，变复杂;[-ate形容词后缀，…的]复杂的
These events will greatly complicate the situation. 这些事件将使局势变得极其复杂。
complication   [见上，-ation名词后缀]复杂，混乱，纠纷
The car ran out of petrol, and as a further complication I had no money!汽车没油了, 更麻烦的是我身上没有钱！
complicated    [见上，-ed形容词后缀，…的]复杂的，难解的
This is the most complicated case I have ever handled.这是我所处理过的最为复杂的案子。
complicacy     [见上，-acy名词后缀]复杂，复杂性，复杂的事物
explicate      [ex-出，plic折叠→包藏→深藏→深度;’揭出深奥之处”，’tk unfold the meaning of”]解释，说明
explicable     [见上，-able形容词后缀，可…的]可解释的，可说明的
The delay is partly explicable by the road works. 延误的部份原因是道路施工。
explication    [见上，-ation名词后缀]解释，说明
explicatory    [见上，-atory形容词后缀，…的]解释的，说明的
supplicate     [sup-下，plic折，-ate动词后缀;’向下折]→折下腰→弯下身→曲膝而求]退求，哀求
She supplicated the judge for protection. 她恳求法官保护。
supplication   [见上，-ation名词后缀]恳求，哀求
supplicatory   [见上，-atory形容词后缀，…的]恳求的，哀求的
implicate      [im-=in-内，plic=fold，-ate动词后缀;’to fold in”]含有…意思;使卷入，使牵连
The evidence clearly implicated him in the crime. 证据清楚显示他与这件罪案有牵连。
implication    [见上，-ation名词后缀]含蓄，牵连
duplicate     [du双，二，plic重叠，重复，-ate使…]使成双，复制，复写;[-ate形容词后缀，…的]二重的，二倍的，复制的;[转为名词]复制品
Your jacket's a duplicate of mine. 你的夹克跟我的一样。
duplication   [见上，-ation名词后缀]成双，成倍，复制，复制品
duplicity      [见上，-ity表示性质]二重性，表里不一，口是心非
multiplicate   [multi-多，plic重叠，-ate，形容词后缀，…的]多重的，多倍的，多样的
multiplicity    [见上，-ity表示性质]多重性，多倍，多样，复杂
",root
85.pon,"pon=put放置
postpone     [post-后，pone放;’往后放”]推后，推迟，延期
They postponed leaving because of the weather. 他们因天气原因而延期离开。
antepone     [ante-前，pon放; 往前放]移前
component    [com-共同，一起，pon放，-ent形容词后缀，…的;放在一起的→合在一起的]合成的，组成的;[-ent表示物]组成部份
A chemist can separate a medicine into its components.
化学家能把一种药物的各种成分分解出来。
compound  [com-共同，一起，poun=pon放;放在一起的]混合的，化合的，混合物，化合物
The compound was subdivided into four living areas. 那个区域被划分成四块居住小区。
opponent     [op-=ob-相反，相对，pon放置，-ent形容词后缀，…的;’置于相反位置上的”]对立的，对抗的;[-ent表示人]对手，敌手
He beat his opponent in the election. 他在选举中击败了对手。
propone      [pro-向前，pon放;’向前放”→向前垦出]提出，提议，建立
proponent    [见上，-ent表示人]提出者，提议者
exponent     [ex-出，外，pon放，摆，-ent形容词后缀，…的;’摆出来的”→摆明的]说明的，讲解的;[-ent表示人]说明者
exponible     [见上，-ible形容词后缀，可…的]可说明的
",root
